A	(
S	)
Z	（
X	）
C	「
V	」
T	ー
Q	？
D	・
K	・
-	ー
@	ー
:	っ
kn	か
cn	か
sn	さ
tn	た
hn	は
mn	ま
rn	ら
yn	や
wn	わ
gn	が
zn	ざ
dn	だ
bn	ば
pn	ぱ
xn	や
fn	ふぁ
vn	ゔぁ
jn	じゃ
kt	こ
st	し
sk	し
tk	と
nk	の
nt	の
dr	で
wr	を
k:	かっ
s:	さっ
t:	たっ
n:	なっ
h:	はっ
m:  まっ
r:  らっ
w:  わっ
g:  がっ
z:  ざっ
d:	だっ
b:  ばっ
p:  ぱっ
k-	かー
s-	さー
t-	たー
n-	なー
h-	はー
m-  まー
r-  らー
w-  わー
g-  がー
z-  ざー
d-	だー
b-  ばー
p-  ぱー
~	〜
.	。
,	、
z/	・
z.	…
z,	‥
z<	←	
z>	→
z-	〜
z:dot	・
z[	『
z]	』
[	「
]	」
va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ
Ma	ゔぁ
Mi	ゔぃ
Mu	ゔ
Me	ゔぇ
Mo	ゔぉ
kk	っ	k
gg	っ	g
ss	っ	s
zz	っ	z
jj	っ	j
tt	っ	t
dd	っ	d
hh	っ	h
ff	っ	f
bb	っ	b
pp	っ	p
yy	っ	y
cc	っ	c
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zxe	じぇ
zyo	じょ
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
cya	ちゃ
cyi	ちぃ
cyu	ちゅ
cye	ちぇ
cyo	ちょ
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
fya	ふゃ
fyu	ふゅ
fyo	ふょ
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
nn	ん
n	ん
a	あ
i	い
u	う
e	え
o	お
xa	や
xu	ゆ
xo	よ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lya	ゃ
lyu	ゅ
lyo	ょ
ye	いぇ
ka	か
ki	き
ku	く
ke	け
ko	こ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
sa	さ
si	し
su	す
se	せ
so	そ
ca	か
ci	き
cu	く
ce	け
co	こ
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
ta	た
ti	ち
tu	つ
te	て
to	と
da	だ
di	ぢ
du	づ
de	で
do	ど
ltu	っ
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
hu	ふ
fu	ふ
he	へ
ho	ほ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
lwa	ゎ
wa	わ
wi	うぃ
we	うぇ
wo	を
q	ー
;	ん
k;	かん
s;	さん
t;	たん
n;	なん
h;	はん
m;	まん
y;	やん
r;	らん
w;	わん
g;	がん
z;	ざん
d;	だん
b;	ばん
p;	ぱん
txo	とぅ
dxo	どぅ
px	っぴょう
hxa	ひゃ
hxu	ひゅ
hxo	ひょ
ppj っぴゃ
kha	きゃ
khu	きゅ
kho	きょ
khc	きゅう
khk	きょう
khs	きゃい
cha	きゃ
chu	きゅ
che	ちぇ
cho	きょ
chc	きゅう
chk	きょう
chs	きゃい
sha	しゃ
shu	しゅ
she	しぇ
sho	しょ
shc	しゅう
shk	しょう
shs	しゃい
sht	しぇい
tha	ちゃ
thi	てぃ
thu	ちゅ
the	ちぇ
tho	ちょ
thc	ちゅう
thk	ちょう
ths	ちゃい
tht	ちぇい
nha	にゃ
nhu	にゅ
nho	にょ
nhc	にゅう
nhk	にょう
nhs	にゃい
mha	みゃ
mhu	みゅ
mho	みょ
mhc	みゅう
mhk	みょう
mhs	みゃい
rha	りゃ
rhu	りゅ
rho	りょ
rhc	りゅう
rhk	りょう
rhs	りゃい
gha	ぎゃ
ghu	ぎゅ
gho	ぎょ
ghc	ぎゅう
ghk	ぎょう
ghs	ぎゃい
zhe	じぇ
dha	ぢゃ
dhi	でぃ
dhu	ぢゅ
dhe	ちぇ
dho	ぢょ
dhc	ぢゅう
dhk	ぢょう
dhs	ぢゃい
bha	びゃ
bho	びょ
bhu	びゅ
bhc	びゅう
bhk	びょう
bhs	びゃい
pha	ぴゃ
phu	ぴゅ
pho	ぴょ
phc	ぴゅう
phk	ぴょう
phs	ぴゃい
khn	きゃん
khw	きゅん
khr	きょん
chn	きゃん
chw	きゅん
chr	きょん
shn	しゃん
shw	しゅん
shm	しぇん
shr	しょん
thn	ちゃん
thw	ちゅん
thm	ちぇん
thr	ちょん
nhn	にゃん
nhw	にゅん
nhr	にょん
mhn	みゃん
mhw	みゅん
mhr	みょん
rhn	りゃん
rhw	りゅん
rhm	りぇん
rhr	りょん
ghn	ぎゃん
ghw	ぎゅん
ghr	ぎょん
bhn	びゃん
bhw	びゅん
bhr	びょん
phn	びゃん
phw	びゅん
phr	びょん
kga	きゃ
kgu	きゅ
kgo	きょ
kgc	きゅう
kgk	きょう
kgs	きゃい
cga	きゃ
cgu	きゅ
cge	ちぇ
cgo	きょ
cgc	きゅう
cgk	きょう
cgs	きゃい
sga	しゃ
sgu	しゅ
sge	しぇ
sgo	しょ
sgc	しゅう
sgk	しょう
sgt	しゃい
sgs	しゃい
tga	ちゃ
tgi	てぃ
tgu	ちゅ
tge	ちぇ
tgo	ちょ
tgc	ちゅう
tgk	ちょう
tgs	ちゃい
tgt	ちぇい
nga	にゃ
ngu	にゅ
ngo	にょ
ngc	にゅう
ngk	にょう
ngs	にゃい
hga	ひゃ
hgu	ひゅ
hgo	ひょ
hgc	ひゅう
hgk	ひょう
hgs	ひゃい
mga	みゃ
mgu	みゅ
